date,xlu_xlu
2025-10-27,91.63999938964844
2025-10-28,90.12999725341797
2025-10-29,90.0999984741211
2025-10-30,89.72000122070312
2025-10-31,89.0999984741211
2025-11-03,89.1500015258789
2025-11-04,88.83000183105469
2025-11-05,88.8499984741211
2025-11-06,88.45999908447266
2025-11-07,89.69000244140625
2025-11-10,89.66000366210938
2025-11-11,89.70999908447266
2025-11-12,89.91999816894531
2025-11-13,88.68000030517578
2025-11-14,88.76000213623047
2025-11-17,89.55999755859375
2025-11-18,89.22000122070312
2025-11-19,88.47000122070312
2025-11-20,88.0199966430664
2025-11-21,88.1500015258789
2025-11-24,89.1500015258789
2025-11-25,88.80999755859375
2025-11-26,89.98999786376953
