,Magnitude,PCA,Granger,DMD,mean_score,std_score,n_lenses
M2,0.5584686969617552,3.724532607731959,1.6368776117910884,2.2955596024161853,2.053859629725247,1.1466947197611408,6
SPY,0.429353490686541,4.63306261931993,0.9906992332340165,1.8479503799328185,1.9752664307933265,1.6154960028929704,6
GDP,0.4131515986516535,3.648753335335304,1.5553328330750666,1.766659582151617,1.84597433730341,1.161223108462291,6
CPI,0.6080163232326097,2.135408794690527,2.313074734600286,1.5897912912786807,1.661572785950526,0.6640988547244117,6
DGS10,0.9966772926276366,3.756085621994329,0.2858887039550057,0.05623367167378701,1.2737213225626896,1.4745317368632391,6
